 *                                      
 * one_step:  btemp=  1.000E+09 bden=  1.000E+05
 *          time                he4           c12           o16           ne20          mg24          si28          ni56 
      1  0.000000000000E+00  9.469725E-01  1.043421E-02  3.300451E-02  5.570487E-03  1.771380E-03  2.246948E-03  5.600000E-29
      2  4.263872218242E-02  9.247753E-01  1.420043E-02  2.597872E-04  9.105194E-03  3.072078E-02  2.093850E-02  5.600000E-29
      3  9.288404157797E-02  9.148172E-01  1.842516E-02  1.941676E-05  8.968558E-04  1.812808E-02  4.771327E-02  5.600000E-29
      4  1.933746803691E-01  9.034737E-01  2.653259E-02  2.713440E-05  8.144949E-05  3.430798E-03  6.645435E-02  5.600000E-29
      5  3.688570511871E-01  8.884253E-01  3.992543E-02  4.123992E-05  1.160876E-04  4.755428E-04  7.101644E-02  5.600000E-29
      6  6.821183655641E-01  8.634603E-01  6.176992E-02  6.424046E-05  1.839527E-04  5.503202E-04  7.397123E-02  5.600000E-29
      7  1.000000000000E+00  8.393752E-01  8.151535E-02  8.502394E-05  2.452628E-04  7.490717E-04  7.803010E-02  5.600000E-29
